update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
16,32768,1444.9551323716823,8,0.0,0.0,0.0,0.0,140.0,0.0,140.0,140.0,1.9404302835464478,0.06169634195975959,0.0049508462252561,0.00030974751916801324,0.0030801985,0.0,0.0,0.0,0.0
17,34816,1463.0117649864044,10,0.0,0.0,0.0,0.0,140.0,0.0,140.0,140.0,1.9419253170490265,0.05477018724195659,0.004450427259143908,0.0002705595061343047,0.0049293805,0.0,0.0,0.0,0.0
18,36864,1469.6446088269,11,0.0,0.0,0.0,0.0,140.0,0.0,140.0,140.0,1.9429414048790932,0.0538640939630568,0.003539078767062165,0.00025241301955247764,0.0040811067,0.0,0.0,0.0,0.0
19,38912,1421.4177669638152,12,0.0,0.0,0.0,0.0,140.0,0.0,140.0,140.0,1.9430316165089607,0.05029090819880366,0.004374944524897728,0.00025100464335992,0.003659479,0.0,0.0,0.0,0.0
20,40960,1475.8222045068758,14,0.0,0.0,0.0,0.0,140.0,0.0,140.0,140.0,1.943006344139576,0.05129858013242483,0.0002957803208119003,0.0002833405615092488,0.0042132377,0.0,0.0,0.0,0.0
21,43008,1398.2214929928873,15,0.0,0.0,0.0,0.0,140.0,0.0,140.0,140.0,1.943095788359642,0.04944889433681965,-0.00023237861387315206,0.0003068935784540372,0.0038456707,0.0,0.0,0.0,0.0
22,45056,1488.9392279366646,17,0.0,0.0,0.0,0.0,140.0,0.0,140.0,140.0,1.9419279992580414,0.058850120985880494,-0.006299138127360493,0.00014148260925139766,0.0031009077,0.0,0.0,0.0,0.0
23,47104,1390.6390969422057,18,0.0,0.0,0.0,0.0,140.0,0.0,140.0,140.0,1.9423629492521286,0.064588054548949,-0.004576388826535549,0.00024366388333874056,0.0027864904,0.0,0.0,0.0,0.0
24,49152,1525.3872527797241,19,0.0,0.0,0.0,0.0,140.0,0.0,140.0,140.0,1.943657249212265,0.05922576901502907,0.0028593082388397306,0.0003197252153768204,0.004246175,0.0,0.0,0.0,0.0
25,51200,1512.3329298654226,21,0.0,0.0,0.0,0.0,140.0,0.0,140.0,140.0,1.9436871483922005,0.050771053647622466,0.004686008105636574,0.00022466830614575883,0.0025030756,0.0,0.0,0.0,0.0
26,53248,1423.2613697744039,22,0.0,0.0,0.0,0.0,140.0,0.0,140.0,140.0,1.9427278116345406,0.04931987030431628,0.0031414974764629733,0.00023902504653960932,0.0035292278,0.0,0.0,0.0,0.0
27,55296,1475.1716066973645,24,0.0,0.0,0.0,0.0,140.0,0.0,140.0,140.0,1.942900337278843,0.04610809707082808,0.0031572144725942053,0.00020710756871267222,0.0032232322,0.0,0.0,0.0,0.0
21,43008,1421.4817466453437,1,0.0,0.0,0,0,0.0,0.0,0,0,1.9424670860171318,0.06201329384930432,-0.017192381608765572,0.00016361054349545157,0.005248175,0.0,0.0,0,0
22,45056,1457.5402221382872,2,0.0,0.0,0.0,0.0,140.0,0.0,140.0,140.0,1.9390773102641106,0.07458788016811013,-0.008625863323686644,0.0004638638856704347,0.0056946957,0.0,0.0,0.0,0.0
23,47104,1415.1552905052572,4,0.0,0.0,0.0,0.0,140.0,0.0,140.0,140.0,1.9384125843644142,0.07607646007090807,0.0033947049705602694,0.0004445230315468507,0.003960143,0.0,0.0,0.0,0.0
24,49152,1478.5766709807926,5,0.0,0.0,0.0,0.0,140.0,0.0,140.0,140.0,1.9402013048529625,0.07302263844758272,0.0030538669270754326,0.00045783940549881663,0.0058163945,0.0,0.0,0.0,0.0
25,51200,1446.3460612194626,7,0.0,0.0,0.0,0.0,140.0,0.0,140.0,140.0,1.9371350184082985,0.0692429174669087,0.0024398123641731218,0.00046654423749714624,0.0049940916,0.0,0.0,0.0,0.0
26,53248,1465.1260823083057,8,0.0,0.0,0.0,0.0,140.0,0.0,140.0,140.0,1.934550479054451,0.0689978669397533,0.002585298760095611,0.00043735658982768655,0.0071397405,0.0,0.0,0.0,0.0
27,55296,1459.215233847392,9,0.0,0.0,0.0,0.0,140.0,0.0,140.0,140.0,1.9384729713201523,0.05584170878864825,0.0037342870054999366,0.0003059284535993356,0.004435977,0.0,0.0,0.0,0.0
28,57344,1475.5585507465455,11,0.0,0.0,0.0,0.0,140.0,0.0,140.0,140.0,1.9406398087739944,0.0523142667952925,0.0026171293557126774,0.0002849931561286212,0.00388761,0.0,0.0,0.0,0.0
